,Blake_ans,Blake_correct,Blake_pts,Emerson_ans,Emerson_correct,Emerson_pts,Jacob_ans,Jacob_correct,Jacob_pts,Keegan_ans,Keegan_correct,Keegan_pts,Kunal_ans,Kunal_correct,Kunal_pts,Kyle_ans,Kyle_correct,Kyle_pts,Myra_ans,Myra_correct,Myra_pts,Zach_ans,Zach_correct,Zach_pts,answers,categories,Season,Match Day
0,Dr Pepper,True,0,Dr pepper,True,0,dr pepper,True,1,dr pepper,True,0,Dr. Pepper,1,0,Dr Pepper,True,0,Mt. Dew,0,0,coke zero,0,0,DR PEPPER,FOOD/DRINK,64,03
1,x,False,2,Davy Crockett,0,3,jeb bush,0,2,jackson,0,3,Houston,1,2,Austin,0,3,x,False,2,McGovernerson,0,3,SAM HOUSTON,AMER HIST,64,03
2,x,False,3,Clint eastwood,0,2,james klute,0,3,Sean Connery ,0,2,Robert Redford,0,2,Nicholson,0,2,x,False,1,harrison ford,0,2,DONALD SUTHERLAND,FILM,64,03
3,x,False,2,Eragon,True,1,eragon,True,1,beginnings,0,2,Birth,0,3,Giver,0,1,Eragon,True,2,eragon,True,1,ERAGON,LITERATURE,64,03
4,Smallpox,True,1,Yellow Fever,0,2,small pox,1,0,mad cow disease,0,1,Chicken Pox,0,1,Mumps,0,1,smallpox,True,1,measles,0,1,SMALLPOX,SCIENCE,64,03
5,Stockholm,0,1,Madrid,True,1,warsaw,0,2,madrid,True,1,Madrid,True,1,Buenos Aires,0,2,Johannesburg,0,3,djibuti,0,2,MADRID,GEOGRAPHY,64,03
